distortion,severity,variant,accuracy,nll,ece
defocus_blur,5,Duo_Joint_TS,0.2656799852848053,3.9899420738220215,6.693346977233887
glass_blur,1,f_large,0.6972399950027466,1.4977829456329346,6.959418296813964
glass_blur,1,f_small,0.5370799899101257,2.095487117767334,12.238426208496094
glass_blur,1,f_large_TS,0.6972399950027466,1.3907191753387451,7.715780258178711
glass_blur,1,f_small_TS,0.5370799899101257,2.136737585067749,8.956889152526855
glass_blur,1,Duo_Joint_TS,0.6922399997711182,1.327846884727478,9.066431045532227
glass_blur,2,f_large,0.6011800169944763,1.990590214729309,6.87425422668457
glass_blur,2,f_small,0.4015600085258484,2.9516966342926025,10.732315063476562
glass_blur,2,f_large_TS,0.6011800169944763,1.9052246809005737,7.612714767456055
glass_blur,2,f_small_TS,0.4015600085258484,2.951927900314331,7.87244987487793
glass_blur,2,Duo_Joint_TS,0.5910400152206421,1.8850533962249756,8.443636894226074
glass_blur,3,f_large,0.3143799901008606,3.803853988647461,6.601881504058838
glass_blur,3,f_small,0.16794000566005707,5.013710021972656,8.784083366394043
glass_blur,3,f_large_TS,0.3143799901008606,3.8227310180664062,7.285104274749756
glass_blur,3,f_small_TS,0.16794000566005707,4.752159595489502,6.484651565551758
glass_blur,3,Duo_Joint_TS,0.3005000054836273,3.8290908336639404,7.507273197174072
glass_blur,4,f_large,0.23212000727653503,4.421138763427734,6.501038074493408
glass_blur,4,f_small,0.12681999802589417,5.438385486602783,8.304598808288574
glass_blur,4,f_large_TS,0.23212000727653503,4.478553295135498,7.166172504425049
glass_blur,4,f_small_TS,0.12681999802589417,5.13868522644043,6.138890743255615
glass_blur,4,Duo_Joint_TS,0.22402000427246094,4.442895412445068,7.279420852661133
glass_blur,5,f_large,0.15649999678134918,5.102710723876953,6.293301582336426
glass_blur,5,f_small,0.09734000265598297,5.729181289672852,7.486644268035889
glass_blur,5,f_large_TS,0.15649999678134918,5.195055961608887,6.93044376373291
glass_blur,5,f_small_TS,0.09734000265598297,5.471321105957031,5.538609981536865
glass_blur,5,Duo_Joint_TS,0.15401999652385712,5.071561813354492,6.879931449890137
motion_blur,1,f_large,0.7640399932861328,1.1879806518554688,7.017956733703613
motion_blur,1,f_small,0.6446999907493591,1.5072720050811768,13.416417121887207
motion_blur,1,f_large_TS,0.7640399932861328,1.070205807685852,7.786701202392578
motion_blur,1,f_small_TS,0.6446999907493591,1.5832715034484863,9.804656028747559
motion_blur,1,Duo_Joint_TS,0.7628600001335144,0.9814145565032959,9.541810035705566
motion_blur,2,f_large,0.7156999707221985,1.4161468744277954,6.971552848815918
motion_blur,2,f_small,0.5407599806785583,2.073155641555786,12.01021957397461
motion_blur,2,f_large_TS,0.7156999707221985,1.3061244487762451,7.730937957763672
motion_blur,2,f_small_TS,0.5407599806785583,2.1546640396118164,8.786355972290039
motion_blur,2,Duo_Joint_TS,0.709879994392395,1.2605212926864624,9.008462905883789
motion_blur,3,f_large,0.6117200255393982,1.951417326927185,6.822946071624756
motion_blur,3,f_small,0.3766399919986725,3.1395459175109863,10.365156173706055
motion_blur,3,f_large_TS,0.6117200255393982,1.8587982654571533,7.557379722595215
motion_blur,3,f_small_TS,0.3766399919986725,3.158623695373535,7.605999946594238
motion_blur,3,Duo_Joint_TS,0.6007800102233887,1.87886643409729,8.255748748779297
motion_blur,4,f_large,0.46031999588012695,2.831166982650757,6.560850143432617
motion_blur,4,f_small,0.2190999984741211,4.448141098022461,9.12679672241211
motion_blur,4,f_large_TS,0.46031999588012695,2.772430658340454,7.2544355392456055
motion_blur,4,f_small_TS,0.2190999984741211,4.308938026428223,6.726194858551025
motion_blur,4,Duo_Joint_TS,0.4445599913597107,2.8542208671569824,7.533420085906982
motion_blur,5,f_large,0.35822001099586487,3.476706027984619,6.363254070281982
